owner_name,owner_bvd_id_number,owner_country
CRH PUBLIC LIMITED COMPANY,IE012965,IE
THOMAS COOK GROUP PLC,GB06091951,GB
SAHAVIRIYA STEEL INDUSTRIES PCL,TH0107537000688,TH
NORTHUMBRIAN WATER GROUP LIMITED,GB04760441,GB
"DIEBOLD NIXDORF, INC",US340183970,US
LIBERTY MEDIA CORPORATION,US371699499,US
SONAE ARAUCO SA.,ESA28040764,ES
GREENYARD NV,BE0402777157,BE
KLM ROYAL DUTCH AIRLINES NV,NL33014286,NL
SOCIEDAD ANONIMA DAMM,ESA08000820,ES
GAMA AVIATION PLC,GB07264678,GB
REPOWER AG,CHCHE103176251,CH
BAUER AKTIENGESELLSCHAFT,DE8130069404,DE
KROSAKI HARIMA CORPORATION,JP3290801009910,JP
BESIX GROUP,BE0400459154,BE
SAS AB,SE5566068499,SE
ESSAR ENERGY LIMITED,GB07108619,GB
UNIPETROL A.S.,CZ61672190,CZ
EDF ENERGY NUCLEAR GENERATION GROUP LIMITED,GBSC270184,GB
MOEVE SA.,ESA28003119,ES
RAUTARUUKKI OYJ,FI01132769,FI
RWE GENERATION UK HOLDINGS LIMITED,GB03987817,GB
SARAS S.P.A. O IN FORMA ESTESA SARAS S.P.A. - RAFFINERIE SARDE,IT00136440922,IT
SCOTTISH & NEWCASTLE LIMITED,GBSC016288,GB
ARCELORMITTAL FRANCE,FR562094425,FR
TOTALENERGIES PETROCHEMICALS & REFINING,BE0403079441,BE
DANA PETROLEUM LIMITED,GB03456891,GB
LAFARGE,FR542105572,FR
KME SE,DE2310076270,DE
"CEMEX ESPANA, SA",ESA46004214,ES
"INTERCEMENT PORTUGAL, S.A.",PT500722900,PT
SAICA FRANCE,FR542046461,FR
"SAINT GOBAIN CRISTALERIA, SL",ESB33019241,ES
CONSTANTIA INDUSTRIES AG,AT9110233779,AT
QEMETICA S.A.,PL011179878,PL
AAK DENMARK HOLDING A/S,DK45954919,DK
METLEN ENERGY & METALS S.A,GR000757001000,GR
ETEX HOLDING UK INSULATION LIMITED,GB05423253,GB
GOUDA REFRACTORIES GROUP B.V.,NL29026693,NL
LIBERTY OSTRAVA A.S.,CZ45193258,CZ
BORSODCHEM ZARTKORUEN MUKODO RESZVENYTARSASAG,HU10600601,HU
KANSAI HELIOS STORITVE SLOVENIJA D.O.O.,SI5043158,SI
VIROMET SA,RO1126350,RO
ROLLS-ROYCE POWER SYSTEMS AG,DE8210129399,DE
BRITISH AIRWAYS PLC,GB01777777,GB
ESSITY GMBH,DE8350262285,DE
ALLERGAN UNLIMITED COMPANY,IE527629,IE
AUDI AG,DE8130008438,DE
OUTOKUMPU EUROPE OY,FI08233124,FI
TATA STEEL NEDERLAND B.V.,NL34005278,NL
ARLA FOODS UK PLC,GB03487778,GB
